Segment,Aspect: PFV,Case: COMPV,Comparison: SPRL,Gender: MASC,Mood: IMP,Mood: SBJV,Number: PL,Number: SG,Part of Speech: ADJ,Part of Speech: N,Part of Speech: V,Person: 1,Person: 2,Person: 3,Polarity: POS,Tense: PRS,Tense: PST,Count
nd,,,,,,,0.16666666666666666,,,0.16666666666666666,0.8333333333333334,,,,,0.16666666666666666,,6
ng,0.09375,,,,,,0.09375,,,0.09375,1.0,,,,,0.6875,0.125,32
non,,,,,,,0.9714285714285714,,,0.9714285714285714,0.02857142857142857,,,,,,,35
ns,,,,,,,0.8857142857142857,,,0.8857142857142857,0.2857142857142857,,,,,,,35
nt,,0.025,0.025,,,,0.6,,0.05,0.6,0.6,,,,,0.175,,40
o,,,,,,,0.717391304347826,,,1,0.3695652173913043,,,,,0.10869565217391304,0.021739130434782608,46
on,,0.003355704697986577,0.0016778523489932886,,,,0.8271812080536913,,0.0050335570469798654,0.8271812080536913,0.2936241610738255,,,,,0.07550335570469799,,596
or,,,,0.0057306590257879654,,,0.8882521489971347,,,0.8939828080229226,0.16905444126074498,,,,,0.04871060171919771,,349
ors,,,,,,,1.0,,,1.0,,,,,,,,19
ot,0.16666666666666666,,,,,,0.5,,,0.5,0.6666666666666666,,,,,0.16666666666666666,0.16666666666666666,6
p,0.020833333333333332,,,,,,0.3958333333333333,,,0.3958333333333333,0.7083333333333334,,,,,0.2708333333333333,0.041666666666666664,48
ph,,,,,,,0.7142857142857143,,,0.7142857142857143,0.7142857142857143,,,,,0.14285714285714285,,7
pus,,,,,,,1.0,,,1.0,,,,,,,,1
r,,,,,,,0.359375,,,0.359375,0.703125,,,,,0.328125,,64
rd,,,,,,,0.4375,,,0.4375,0.8125,,,,,0.125,,16
ri,,,0.03225806451612903,,,,0.8387096774193549,,0.03225806451612903,0.8387096774193549,0.16129032258064516,,,,,,,31
rie,,,,,,,1.0,,,1.0,,,,,,,,1
ro,,,,,,,0.9583333333333334,,,0.9583333333333334,0.08333333333333333,,,,,,,24
rols,,,,,,,1.0,,,1.0,,,,,,,,1
roms,,,,,,,1.0,,,1.0,,,,,,,,1
rs,,,,,,,0.9942528735632183,,,0.9942528735632183,0.022988505747126436,,,,,,,174
rt,,,,,,,0.2857142857142857,,,0.2857142857142857,0.8571428571428571,,,,,0.2857142857142857,,7
s,,0.00040064102564102563,0.00020032051282051281,,,,0.8922275641025641,,0.0006009615384615385,0.8924946581196581,0.3253872863247863,,,,,0.003605769230769231,,14976
sacs,,,,,,,1.0,,,1.0,,,,,,,,1
se,,,,,,,0.5897435897435898,,,0.5897435897435898,0.6666666666666666,,,,,,0.02564102564102564,39
self,,,,,,,0.5294117647058824,,,0.5294117647058824,0.47058823529411764,,,,,0.23529411764705882,,17
shil,,,,,,,,,,,1.0,,,,,1.0,,1
ssed,,,,,,,,,,,1.0,,,,,,,3
superf,,,,,,,1.0,,,1.0,,,,,,,,1
t,0.006012024048096192,0.014028056112224449,0.012024048096192385,,,,0.3687374749498998,,0.026052104208416832,0.3687374749498998,0.6773547094188377,,,,,0.3026052104208417,0.014028056112224449,499
ta,,,,,,,1.0,,,1.0,,,,,,,,12
tale,,,,,,,1.0,,,1.0,,,,,,,,2
te,0.0078125,,,,,,0.5078125,,,0.5078125,0.6953125,,,,,0.015625,0.0078125,128
ted,,,,,,,0.022222222222222223,,,0.022222222222222223,0.9777777777777777,,,,,,,45
tetes,,,,,,,1.0,,,1.0,,,,,,,,1
th,,,,,,,0.7777777777777778,,,0.7777777777777778,0.3333333333333333,,,,,0.1111111111111111,,18
ti,,0.027777777777777776,,,,,0.8611111111111112,,0.027777777777777776,0.8611111111111112,0.1111111111111111,,,,,0.027777777777777776,,36
tic,,,,,,,0.4,,,0.4,0.6,,,,,,,5
tiffs,,,,,,,1.0,,,1.0,,,,,,,,1
tion,,,,,,,0.8961748633879781,,,0.8961748633879781,0.15846994535519127,,,,,0.040983606557377046,,366
tonks,,,,,,,1.0,,,1.0,,,,,,,,1
ts,,,,,,,0.9821428571428571,,,0.9821428571428571,0.2857142857142857,,,,,,,56
tuks,,,,,,,1.0,,,1.0,,,,,,,,1
u,,,,,,,0.45454545454545453,,,0.45454545454545453,0.5757575757575758,,,,,0.18181818181818182,,33
ue,,,,,,,1.0,,,1.0,0.3333333333333333,,,,,,,6
um,,,,,,,1.0,,,1.0,,,,,,,,13
ur,,,,,,,0.3548387096774194,,,0.3548387096774194,0.8064516129032258,,,,,0.2903225806451613,,31
us,,,,,,,0.9230769230769231,,,0.9230769230769231,0.11538461538461539,,,,,0.038461538461538464,,26
v,0.0196078431372549,,,,,,0.45098039215686275,,,0.45098039215686275,0.6274509803921569,,,,,0.23529411764705882,0.0392156862745098,51
ve,0.05714285714285714,,,,,,0.8571428571428571,,,0.8571428571428571,0.37142857142857144,,,,,,0.05714285714285714,35
way,,,,,,,0.9512195121951219,,,0.9512195121951219,0.0975609756097561,,,,,0.024390243902439025,,41
wuzzies,,,,,,,1.0,,,1.0,,,,,,,,1
x,,,,,,,0.8571428571428571,,,0.8571428571428571,0.2857142857142857,,,,,0.14285714285714285,,7
y,,,,,,,0.5961538461538461,,,0.6153846153846154,0.46153846153846156,,,,,0.3269230769230769,,52
yo,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,,,,,0.3333333333333333,,3
z,,,,,,,0.14285714285714285,,,0.14285714285714285,1.0,,,,,0.42857142857142855,,7
zig,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,,,,,0.3333333333333333,,3
